Company,Country,Industry,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Label
POSCO Holdings,South Korea,Steel,0.944,1.397,0.649,1.383,0.876,0.792,0.958,-0.2,Legit
Airbus SE,France,Aerospace,1.038,0.824,0.625,1.218,0.63,0.905,0.987,-0.2,Legit
GeoPetro Resources,USA,Oil & Gas,1.3,1.393,1.581,2.335,1.729,1.057,1.696,-0.0007,Fraud
Global Indemnity Group,USA,Insurance,2.232,0.915,1.699,2.351,1.486,1.249,0.532,0.4102,Fraud
Ezubao P2P,China,Financial Services,2.37,2.037,2.019,3.605,1.618,0.997,1.435,0.5,Fraud
Viavi Solutions,USA,Networking,0.945,1.294,0.641,1.262,0.3,0.653,1.491,-0.1066,Legit
Broadridge Financial,USA,Financial Services,1.397,1.46,1.569,1.405,1.276,0.843,1.305,-0.2,Legit
Murata Manufacturing,Japan,Electronics,1.081,0.744,1.016,1.001,0.967,1.242,1.091,0.039,Legit
Nirav Modi,India,Jewellery,1.394,1.859,1.77,2.057,1.138,0.893,1.315,-0.0136,Fraud
Safaricom 2019,Kenya,Telecommunications,1.396,1.16,0.759,2.026,1.468,0.63,1.445,-0.1311,Legit
SQM irregularities,Chile,Mining,1.357,0.941,1.096,2.072,1.013,1.045,1.455,-0.0254,Fraud
PCTEL Inc,USA,Telecommunications,1.049,0.3,1.25,1.345,0.557,1.315,1.159,-0.0231,Legit
Embraer,Brazil,Aerospace,1.182,1.008,0.99,0.948,0.876,1.271,0.821,-0.2,Legit
First Women Bank,Pakistan,Banking,1.886,1.14,1.993,1.681,0.914,0.769,1.008,-0.2,Fraud
Americanas 2022,Brazil,Retail,1.186,1.071,1.448,2.426,1.085,1.17,1.653,0.3398,Fraud
PhotoCure,Norway,Pharmaceuticals,1.744,1.189,1.776,1.771,1.001,0.974,1.088,0.2251,Fraud
ArcelorMittal,Luxembourg,Steel,0.525,0.959,0.905,0.675,0.857,1.152,1.04,-0.0301,Legit
ABB Ltd,Switzerland,Industrial,0.996,1.582,0.42,0.509,1.37,1.273,1.205,0.2123,Legit
Trip.com Group,China,Travel,1.379,1.626,1.203,0.846,1.014,0.698,0.708,-0.2,Legit
Asahi Breweries,Japan,Beverages,0.925,1.463,1.144,0.832,1.398,0.616,0.971,-0.0469,Legit
Tieto Evry,Finland,IT Services,0.97,1.08,1.42,0.3,0.564,0.679,1.577,0.0599,Legit
Nestle 2016,Switzerland,Food & Beverages,0.994,0.718,1.433,0.662,1.004,1.164,1.0,-0.1954,Legit
Abbott Laboratories,USA,Healthcare,1.546,0.622,1.822,1.067,0.942,1.655,1.216,-0.167,Legit
Iqvia Holdings 2019,USA,Healthcare,1.992,0.849,1.76,2.208,0.877,1.057,1.154,0.0902,Fraud
Iberdrola,Spain,Utilities,1.095,0.404,1.577,1.62,0.439,1.255,1.144,-0.2,Legit
Air Link Communication,Pakistan,Technology,1.282,0.3,1.704,0.3,0.831,1.587,1.723,-0.0748,Legit
Steinhoff International,South Africa,Retail,1.07,1.627,1.559,1.104,1.127,1.344,1.492,0.4545,Fraud
Groupon 2012,USA,E-commerce,1.491,1.26,1.413,2.508,1.092,0.856,1.463,0.1649,Fraud
Parmalat 1999,Italy,Food & Beverages,1.906,1.031,1.492,2.098,0.972,1.813,1.39,0.5,Fraud
Denso Corporation,Japan,Automotive Parts,1.539,1.139,1.287,1.346,0.835,0.94,1.45,-0.2,Legit
Femsa,Mexico,Beverages,1.552,1.11,0.977,1.491,1.049,0.704,1.19,0.146,Legit
Alliance Data Systems,USA,Financial Services,1.528,0.439,0.52,0.831,1.602,1.257,1.185,-0.2,Legit
Mallinckrodt,Ireland,Pharmaceuticals,1.969,1.137,1.217,1.472,1.235,1.09,1.829,-0.0716,Fraud
BioSig Technologies,USA,Medical Devices,1.789,1.605,1.687,2.062,0.861,1.445,0.956,-0.2,Fraud
Tongaat Hulett,South Africa,Agriculture,1.514,1.044,2.108,0.943,1.18,0.918,1.799,0.4604,Fraud
Telenor,Norway,Telecommunications,1.236,1.05,0.3,0.724,1.679,0.828,1.546,-0.2,Legit
Oberthur Technologies,France,Technology,1.712,1.308,1.795,1.623,1.541,1.324,1.001,0.0366,Fraud
Microsoft 2020,USA,Software,1.001,0.71,1.561,1.574,1.316,1.199,1.021,-0.1519,Legit
Docebo Inc,Canada,Software,0.967,0.758,1.836,0.798,0.929,0.893,0.926,0.3844,Legit
CRDB Bank,Tanzania,Banking,1.172,1.011,1.312,0.806,0.953,0.82,1.432,0.2473,Legit
Lucky Cement 2019,Pakistan,Construction,0.391,1.233,0.396,2.039,1.0,1.036,1.272,0.1797,Legit
Nippon Steel,Japan,Steel,0.92,0.715,0.636,1.085,1.044,0.972,1.665,-0.2,Legit
Hertz Global 2019,USA,Car Rental,2.3,1.54,1.9,2.117,0.986,1.372,1.609,-0.1594,Fraud
Sartorius AG,Germany,Life Sciences,0.85,0.615,0.45,1.202,1.032,0.438,0.99,0.2262,Legit
Xerox Corporation,USA,Technology,1.944,1.508,1.576,1.447,0.933,0.906,1.373,0.5,Fraud
Merck & Co,USA,Pharmaceuticals,1.106,1.021,1.401,0.818,1.142,1.102,0.558,-0.2,Legit
Steinhoff 2016,South Africa,Retail,1.71,1.64,1.303,2.105,1.73,1.411,1.228,-0.1511,Fraud
Rino International,China,Industrial,1.927,0.777,1.516,1.302,1.513,0.618,1.098,0.2691,Fraud
ADTRAN Inc,USA,Networking,0.3,1.086,1.395,0.936,1.167,1.405,1.228,0.2987,Legit
DSM Group,Netherlands,Chemicals,1.284,1.281,1.359,0.804,0.905,1.13,1.624,0.0369,Legit
Evolent Health,USA,Healthcare,0.935,0.667,1.288,0.416,0.678,1.541,1.294,0.1686,Legit
Maruti Suzuki,India,Automotive,1.64,1.278,0.611,0.717,1.055,0.662,0.958,-0.2,Legit
Teva 2017,Israel,Pharmaceuticals,2.177,1.264,1.99,1.751,1.788,1.093,0.936,-0.0164,Fraud
Boskalis Westminster,Netherlands,Construction,2.296,1.579,2.096,2.197,1.5,0.92,1.542,0.0947,Fraud
Kohinoor Textile,Pakistan,Textiles,1.289,1.064,1.495,2.116,1.578,1.451,1.34,-0.078,Fraud
Byco Petroleum,Pakistan,Oil & Gas,1.703,1.363,1.939,1.083,1.102,0.956,1.885,0.2744,Fraud
Calix Networks,USA,Networking,1.554,1.314,0.478,0.886,0.3,0.434,1.535,0.0748,Legit
Francesca Holdings,USA,Retail,1.236,1.741,1.351,1.935,1.198,1.524,1.26,0.4334,Fraud
Alfa Laval,Sweden,Industrial,1.153,0.682,1.034,1.202,0.698,1.189,1.288,0.2037,Legit
LPL Financial,USA,Financial Services,1.686,1.07,1.429,0.914,1.033,1.041,1.462,-0.2,Legit
Jet Airways,India,Aviation,1.386,1.307,1.452,2.087,0.706,0.912,0.9,0.3348,Fraud
Banca Monte dei Paschi,Italy,Banking,1.555,1.367,2.147,1.399,1.366,0.661,2.388,0.2613,Fraud
Teva 2016,Israel,Pharmaceuticals,1.321,1.128,1.879,1.306,1.482,1.411,1.451,0.1514,Fraud
Coveo Solutions,Canada,Software,0.452,1.314,0.519,0.706,1.331,0.824,0.919,-0.0003,Legit
Royal Bank Canada,Canada,Banking,0.462,1.137,1.148,1.359,0.616,1.131,1.063,0.1371,Legit
Cidara Therapeutics,USA,Biotechnology,1.737,1.831,1.556,1.758,1.359,1.196,1.323,-0.2,Fraud
Petrobras 2014,Brazil,Oil & Gas,1.709,1.602,1.837,1.994,0.763,0.744,1.246,-0.0196,Fraud
Gulf Keystone issue,UK,Oil & Gas,1.751,1.567,1.373,1.737,1.005,0.726,0.895,0.102,Fraud
TSMC,Taiwan,Semiconductors,0.789,0.3,1.62,0.779,1.286,0.753,1.159,-0.0969,Legit
Co-op Bank Kenya,Kenya,Banking,0.586,0.634,1.033,0.904,1.162,1.014,0.944,-0.0688,Legit
Baytex Energy,Canada,Oil & Gas,1.277,1.749,1.823,1.707,0.833,1.057,1.605,0.3202,Fraud
Twilio Inc,USA,Software,0.961,0.977,0.994,1.61,0.807,1.074,0.606,-0.2,Legit
Escorts Investment,Pakistan,Financial Services,1.429,1.664,1.895,2.171,1.17,1.238,0.819,0.0476,Fraud
Lemonade Inc,USA,Insurance,0.98,0.984,1.297,1.096,1.67,0.949,1.118,0.0933,Legit
Nestle SA,Switzerland,Food & Beverages,1.444,1.155,1.102,1.174,1.203,1.032,1.044,-0.2,Legit
Hon Hai Precision,Taiwan,Electronics,1.248,1.017,1.087,1.282,0.862,0.76,0.797,-0.0538,Legit
Ahlstrom-Munksjo,Finland,Paper,1.062,1.14,0.646,1.129,1.113,0.403,1.143,-0.2,Legit
Mosman Oil & Gas,UK,Oil & Gas,1.56,1.33,2.034,1.759,0.692,0.844,1.313,0.5,Fraud
Sherwin-Williams,USA,Chemicals,1.413,1.057,0.861,1.186,0.855,1.062,0.846,-0.0595,Legit
